cow_number,shed_code,intake_date,gender,origin_region,status
1659956953,4103,2025-05-10,castrated,飛騨,active
1383358726,4208,2025-02-07,castrated,関,active
1697760413,4207,2025-02-07,female,関,active
1442360868,4201,2025-06-01,female,曽於,active
1601762120,4201,2025-03-08,female,飛騨,active
1695262728,4104,2025-05-10,castrated,飛騨,active
1690763251,4209,2025-06-06,female,関,active
1442363265,4203,2025-06-01,castrated,曽於,active
1442363302,4202,2025-06-01,castrated,曽於,active
1442364088,4110,2025-04-27,castrated,曽於,active
1442364231,4114,2025-04-27,female,曽於,active
1690764456,4214,2025-05-20,castrated,北海道,active
1442364521,4203,2025-06-01,castrated,曽於,active
1442364736,4110,2025-04-27,castrated,曽於,active
1622765070,4204,2025-03-08,female,飛騨,active
1442365467,4111,2025-04-27,castrated,曽於,active
1442366440,4202,2025-06-01,castrated,曽於,active
1442366594,4201,2025-06-01,female,曽於,active
1587967274,4117,2025-06-13,castrated,北海道,active
1678772046,4108,2025-03-08,female,飛騨,active
1678772053,4208,2025-03-08,castrated,飛騨,active
1476872078,4108,2025-03-08,female,飛騨,active
1678772084,4205,2025-03-08,castrated,飛騨,active
1476872092,4101,2025-05-10,female,飛騨,active
1678772114,4212,2025-03-08,female,飛騨,active
1684073557,4206,2025-03-08,female,飛騨,active
1684073564,4201,2025-03-08,female,飛騨,active
1460773671,4203,2025-06-01,castrated,曽於,active
1689074078,4212,2025-03-08,female,飛騨,active
1687474733,4113,2025-04-18,castrated,北海道,active
1664374957,4213,2025-03-14,castrated,北海道,active
1690375096,4102,2025-05-10,female,飛騨,active
1670175968,4114,2025-04-18,castrated,北海道,active
1676477363,4104,2025-04-04,castrated,関,active
1676477394,4211,2025-06-06,castrated,関,active
1460779031,4111,2025-04-27,castrated,曽於,active
1680280843,4110,2025-04-27,castrated,曽於,active
1680280911,4114,2025-04-27,female,曽於,active
1670080989,4109,2025-04-04,castrated,関,active
1680281185,4114,2025-04-27,female,曽於,active
1699382149,4103,2025-05-10,castrated,飛騨,active
1699382200,4211,2025-06-06,castrated,関,active
0872186048,4207,2025-02-07,female,関,active
0872186178,4104,2025-05-10,castrated,飛騨,active
1460787227,4201,2025-06-01,female,曽於,active
1456087539,4117,2025-01-17,castrated,北海道,active
1659987780,4212,2025-03-08,female,飛騨,active
1688587821,4208,2025-02-07,castrated,関,active
1680188934,4115,2025-06-13,castrated,北海道,active
1688389036,4215,2025-05-16,castrated,北海道,active
1408189069,4217,2025-05-16,castrated,北海道,active
1656189279,4206,2024-03-05,female,飛騨,active
1690489823,4106,2025-03-08,castrated,飛騨,active
1546790288,4114,2025-04-18,castrated,北海道,active
1656190893,4108,2025-03-08,female,飛騨,active
1645090951,4107,2025-05-10,female,飛騨,active
1641491554,4217,2025-05-16,castrated,北海道,active
1678991744,4215,2025-05-16,castrated,北海道,active
1352591772,4115,2025-06-13,castrated,北海道,active
1666093047,4217,2025-05-16,castrated,北海道,active
1371594983,4114,2025-04-27,female,曽於,active
1371595003,4201,2025-06-01,female,曽於,active
1369596258,4115,2025-06-13,castrated,北海道,active
1358397248,4105,2025-04-04,female,関,active
1371597380,4202,2025-06-01,castrated,曽於,active
1371597397,4201,2025-06-01,female,曽於,active
1662198234,4108,2025-03-08,female,飛騨,active
1659498835,4105,2025-04-04,female,関,active
1371598882,4110,2025-04-27,castrated,曽於,active
1428800715,5203,2024-05-11,female,飛騨,active
1674301042,5105,2024-05-11,castrated,飛騨,active
1678701237,5118,2024-02-02,female,関,active
1693501249,5202,2024-11-15,castrated,北海道,active
1637001354,5208,2024-06-14,castrated,北海道,active
1700401487,5212,2024-09-28,female,曽於,active
1680701720,5208,2024-07-12,castrated,北海道,active
1677801785,5118,2024-02-02,female,関,active
1499801895,5203,2024-04-05,female,関,active
1680701904,5207,2024-04-05,castrated,関,active
1680701911,5207,2024-04-05,castrated,関,active
1680701928,5116,2024-04-05,castrated,関,active
1489301930,5202,2024-11-15,castrated,北海道,active
1680701935,5207,2024-04-05,castrated,関,active
1680701973,5207,2024-04-05,castrated,関,active
1680701980,5207,2024-04-05,castrated,関,active
1683502034,5214,2024-08-02,castrated,関,active
1491103188,5218,2024-07-06,castrated,飛騨,active
1491103201,5218,2024-07-06,castrated,飛騨,active
1491103218,5101,2024-08-02,female,関,active
1393203474,5201,2023-11-17,castrated,北海道,active
1569503568,5209,2024-11-02,castrated,飛騨,active
1406803684,5205,2025-01-17,castrated,北海道,active
1678203687,5115,2024-02-02,castrated,関,active
1390904190,5103,2024-11-15,castrated,北海道,active
1661904348,5108,2024-08-02,female,関,active
1688304411,5113,2024-02-03,castrated,曽於,active
1635004487,5104,2024-05-11,female,飛騨,active
1398704853,5102,2024-12-13,castrated,北海道,active
1516205811,5107,2024-05-11,castrated,飛騨,active
1652706418,5103,2024-11-15,castrated,北海道,active
1678606839,5110,2024-05-18,castrated,北海道,active
1663407137,5201,2023-11-17,castrated,北海道,active
1680107713,5106,2024-05-18,castrated,北海道,active
0874607800,5215,2024-01-06,castrated,飛騨,active
0875408352,5116,2024-04-05,castrated,関,active
0875408475,5105,2024-05-11,castrated,飛騨,active
1632208499,5210,2025-02-19,female,北海道,active
1631608566,5205,2025-01-17,castrated,北海道,active
0875408635,5107,2024-05-11,castrated,飛騨,active
0875408772,5105,2024-05-11,castrated,飛騨,active
0875409069,5218,2024-07-06,castrated,飛騨,active
1688309218,5112,2024-04-29,female,曽於,active
0875409236,5218,2024-07-06,castrated,飛騨,active
1687009539,5109,2024-06-14,castrated,北海道,active
1678110305,5204,2024-05-21,castrated,北海道,active
1676411046,5215,2024-01-06,castrated,飛騨,active
1665311449,5202,2025-04-18,castrated,北海道,active
1669712075,5102,2024-12-13,castrated,北海道,active
1622412394,5109,2024-06-14,castrated,北海道,active
1622412745,5210,2025-02-19,female,北海道,active
1655212916,5210,2025-02-19,female,北海道,active
1580713564,5202,2025-04-18,castrated,北海道,active
1680014806,5114,2023-09-05,castrated,飛騨,active
1553014841,5116,2024-04-05,castrated,関,active
1553014902,5104,2024-05-11,female,飛騨,active
1691414985,5103,2024-11-15,castrated,北海道,active
1680015001,5111,2024-03-05,female,飛騨,active
1553015077,5206,2024-09-07,female,飛騨,active
1553015107,5209,2024-11-02,castrated,飛騨,active
1567415283,5205,2025-01-17,castrated,北海道,active
1583515325,5217,2024-08-31,female,曽於,active
1518916944,5213,2024-11-15,castrated,北海道,active
1676417048,5114,2023-10-06,castrated,関,active
1525217164,5106,2024-05-18,castrated,北海道,active
1534117462,5205,2025-01-17,castrated,北海道,active
1676417741,5215,2024-01-06,castrated,飛騨,active
1680718254,5115,2024-02-02,castrated,関,active
1524718716,5105,2024-05-11,castrated,飛騨,active
1524719034,5216,2024-08-02,castrated,関,active
1524719386,5206,2024-09-07,female,飛騨,active
1524719836,5209,2024-11-02,castrated,飛騨,active
0875019909,5102,2024-12-13,castrated,北海道,active
1458720724,5208,2024-06-14,castrated,北海道,active
0874720936,5215,2024-01-06,castrated,飛騨,active
1553021078,5117,2024-03-30,castrated,曽於,active
0874721780,5206,2024-09-07,female,飛騨,active
1692621856,5102,2024-12-13,castrated,北海道,active
1455421945,5213,2024-11-15,castrated,北海道,active
1525622555,5208,2024-07-12,castrated,北海道,active
1527822991,5117,2024-03-30,castrated,曽於,active
0871523011,5214,2024-08-02,castrated,関,active
1446323654,5109,2024-06-14,castrated,北海道,active
0874423806,5115,2024-05-21,castrated,北海道,active
1588027885,5104,2024-05-11,female,飛騨,active
1588028080,5110,2024-05-18,castrated,北海道,active
1404428629,5103,2024-11-15,castrated,北海道,active
1421030287,5113,2024-02-03,castrated,曽於,active
0875430681,5210,2025-02-19,female,北海道,active
1553031114,5112,2024-04-29,female,曽於,active
0863431577,5118,2023-05-08,female,自家,active
0863431584,5118,2023-05-21,female,自家,active
0863431591,5115,2023-06-17,castrated,自家,active
0863431607,5115,2023-06-24,castrated,自家,active
0863431614,5203,2023-06-30,female,自家,active
0863431621,5203,2023-07-06,female,自家,active
0863431638,5104,2023-08-25,female,自家,active
0863431645,5107,2023-09-02,castrated,自家,active
0863431669,5107,2023-09-13,castrated,自家,active
0873831701,5214,2023-11-24,castrated,自家,active
0873831718,5214,2023-11-25,castrated,自家,active
1400032264,5117,2024-03-30,castrated,曽於,active
1414734178,5106,2024-05-18,castrated,北海道,active
1658434704,5206,2024-09-07,female,飛騨,active
1615938429,5204,2024-05-21,castrated,北海道,active
1440938656,5202,2024-11-15,castrated,北海道,active
0865739787,5109,2024-06-14,castrated,北海道,active
1404641042,5202,2024-11-15,castrated,北海道,active
1399141138,5201,2023-11-17,castrated,北海道,active
1669841706,5213,2024-12-13,castrated,北海道,active
1596342253,5210,2025-02-19,female,北海道,active
1391742784,5116,2024-04-05,castrated,関,active
1428442915,5202,2025-04-18,castrated,北海道,active
1553043773,5217,2024-08-31,female,曽於,active
1403043854,5216,2024-08-03,castrated,曽於,active
1553044657,5217,2024-08-31,female,曽於,active
0859645551,5106,2024-05-18,castrated,北海道,active
1403046640,5217,2024-08-31,female,曽於,active
1673846995,5203,2024-05-11,female,飛騨,active
1400047114,5211,2023-10-29,castrated,曽於,active
1676447168,5101,2024-08-02,female,関,active
1400048104,5117,2024-03-30,castrated,曽於,active
1387948688,5214,2024-08-02,castrated,関,active
1403049764,5212,2024-09-28,female,曽於,active
1688350029,5101,2024-08-02,female,関,active
1553050627,5212,2024-09-28,female,曽於,active
1658151212,5216,2024-08-02,castrated,関,active
1698551683,5202,2025-04-18,castrated,北海道,active
1658451855,5112,2024-04-29,female,曽於,active
1447652524,5202,2025-04-18,castrated,北海道,active
1473852899,5101,2024-08-02,female,関,active
1683653835,5209,2024-11-02,castrated,飛騨,active
1658454733,5112,2024-04-29,female,曽於,active
1659455890,5109,2024-06-14,castrated,北海道,active
1655559837,5111,2024-03-05,female,飛騨,active
1659162460,5118,2024-02-02,female,関,active
1587962729,5201,2023-11-17,castrated,北海道,active
1689065847,5217,2024-08-31,female,曽於,active
1689066615,5212,2024-09-28,female,曽於,active
1689067070,5212,2024-09-28,female,曽於,active
1553068837,5108,2024-08-03,female,曽於,active
1647268884,5204,2024-06-14,castrated,北海道,active
1553069117,5108,2024-08-03,female,曽於,active
1428469295,5113,2024-02-03,castrated,曽於,active
1553069926,5108,2024-08-03,female,曽於,active
0874272374,5201,2023-11-17,castrated,北海道,active
1668572915,5104,2024-05-11,female,飛騨,active
1630472984,5114,2023-10-06,castrated,関,active
1428474237,5112,2024-04-29,female,曽於,active
1681474500,5213,2024-12-13,castrated,北海道,active
1655975491,5110,2024-05-18,castrated,北海道,active
1680175538,5110,2024-05-18,castrated,北海道,active
1687475693,5211,2023-10-29,castrated,曽於,active
1365175808,5110,2024-05-18,castrated,北海道,active
1365175976,5204,2024-06-14,castrated,北海道,active
1687476423,5211,2023-10-29,castrated,曽於,active
1688478600,5202,2024-11-15,castrated,北海道,active
1659179260,5215,2024-01-06,castrated,飛騨,active
1374079449,5206,2024-09-07,female,飛騨,active
1374079487,5209,2024-11-02,castrated,飛騨,active
1388280251,5108,2024-08-03,female,曽於,active
1468681213,5111,2024-03-05,female,飛騨,active
1374781427,5218,2024-07-06,castrated,飛騨,active
1656183642,5103,2024-11-15,castrated,北海道,active
0871084192,5106,2024-05-18,castrated,北海道,active
1388285362,5216,2024-08-03,castrated,曽於,active
1633185577,5101,2024-08-02,female,関,active
1675787401,5116,2024-04-05,castrated,関,active
1639487552,5105,2024-05-11,castrated,飛騨,active
1667988748,5204,2024-05-21,castrated,北海道,active
1656189316,5111,2024-03-05,female,飛騨,active
1656189323,5111,2024-04-05,female,関,active
1407689751,5208,2024-07-12,castrated,北海道,active
1388192394,5211,2023-10-29,castrated,曽於,active
1388192523,5113,2024-02-03,castrated,曽於,active
1388192530,5113,2024-02-03,castrated,曽於,active
1408892747,5107,2024-05-11,castrated,飛騨,active
1388193322,5211,2023-10-29,castrated,曽於,active
1538394241,5102,2024-12-13,castrated,北海道,active
1628694671,5213,2024-11-15,castrated,北海道,active
1685995834,5117,2024-03-30,castrated,曽於,active
1431396717,5216,2024-08-03,castrated,曽於,active
1608800689,6203,2024-10-11,castrated,北海道,active
1449000835,6215,2024-02-16,castrated,北海道,active
1676101022,6118,2024-12-07,castrated,関,active
1676101060,6115,2024-12-07,female,関,active
1674301097,6212,2024-06-07,female,関,active
1413801451,6105,2023-11-07,castrated,飛騨,active
1499801765,6104,2023-10-06,female,関,active
1499801772,6104,2023-10-06,female,関,active
1499801819,6106,2023-12-02,castrated,関,active
1499801826,6106,2023-12-02,castrated,関,active
1499801840,6106,2023-12-02,castrated,関,active
1597302010,6113,2024-09-07,female,飛騨,active
1683502041,6113,2024-10-04,female,関,active
1482002100,6113,2024-10-04,female,関,active
1482002155,6115,2024-12-07,female,関,active
1482002179,6115,2024-12-07,female,関,active
1482002193,6118,2024-12-07,castrated,関,active
1520602279,6114,2025-02-15,castrated,北海道,active
1677402357,6209,2025-02-07,castrated,関,active
1668902637,6218,2023-10-06,female,関,active
1686302846,6211,2025-04-18,castrated,北海道,active
1569503391,6205,2024-09-07,castrated,飛騨,active
1614903411,6108,2025-04-20,female,北海道,active
1580803463,6209,2025-02-07,castrated,関,active
1688303469,6216,2023-12-24,female,曽於,active
1569503643,6118,2024-12-07,castrated,関,active
1671604818,6210,2023-12-16,castrated,北海道,active
1688305722,6208,2023-09-29,female,曽於,active
1516205781,6212,2024-05-11,female,飛騨,active
0874607374,6104,2023-11-07,female,飛騨,active
1680708910,6110,2024-01-06,castrated,飛騨,active
1655009035,6210,2023-12-16,castrated,北海道,active
0875409373,6113,2024-09-07,female,飛騨,active
0871409445,6215,2024-02-16,castrated,北海道,active
0873509631,6205,2024-09-07,castrated,飛騨,active
1692510037,6203,2024-10-11,castrated,北海道,active
1694410120,6204,2024-10-11,castrated,北海道,active
0875910152,6118,2024-12-07,castrated,関,active
0875910299,6112,2025-01-11,castrated,飛騨,active
0875910435,6107,2025-01-11,castrated,飛騨,active
0875910442,6112,2025-01-11,castrated,飛騨,active
1631711228,6213,2023-11-17,castrated,北海道,active
1580713540,6109,2025-02-15,castrated,北海道,active
1690515157,6217,2024-07-06,castrated,飛騨,active
1591315221,6107,2025-01-11,castrated,飛騨,active
1518916180,6214,2024-02-16,castrated,北海道,active
1616816528,6213,2023-11-17,castrated,北海道,active
1553016883,6216,2023-12-24,female,曽於,active
1676417024,6218,2023-10-06,female,関,active
1676417185,6218,2023-10-06,female,関,active
1522317195,6201,2024-01-19,castrated,北海道,active
1631917422,6114,2025-02-15,castrated,北海道,active
1693718531,6202,2024-10-04,castrated,関,active
1691418679,6116,2025-03-19,female,北海道,active
1673818978,6114,2025-01-17,castrated,北海道,active
1553019303,6216,2023-12-24,female,曽於,active
1479719394,6109,2025-02-15,castrated,北海道,active
1672119410,6117,2025-01-11,castrated,飛騨,active
1524719881,6103,2024-11-02,female,飛騨,active
1524720306,6112,2025-01-11,castrated,飛騨,active
1704020400,6107,2025-01-11,castrated,飛騨,active
1704020646,6112,2025-01-11,castrated,飛騨,active
0874720677,6218,2023-10-06,female,関,active
0874720752,6105,2023-11-07,castrated,飛騨,active
0874721353,6212,2024-07-06,female,飛騨,active
0868123132,6209,2025-02-07,castrated,関,active
1691325274,6116,2025-03-19,female,北海道,active
1696426839,6109,2025-02-15,castrated,北海道,active
1421927228,6210,2023-12-16,castrated,北海道,active
1667727804,6104,2023-11-07,female,飛騨,active
